GlobalId,Cultivo,Latitud,Longitud,Campania,best_q,best_q2
4,M,-33.80174165962358,-62.15541768921365,18/19,2,3
7,M,-33.81367146108375,-62.16477323431994,18/19,3,4
9,M,-33.778627748600684,-62.09720026248786,18/19,3,4
30,M,-33.81686528691121,-62.18371589743121,18/19,1,2
34,M,-33.75200341815144,-62.05540135427779,18/19,3,2
45,M,-33.74570708551937,-62.037396561406155,18/19,1,2
52,M,-33.884907739368664,-62.141801202771816,18/19,2,3
66,M,-33.89809454630533,-62.12179330432666,18/19,3,4
69,M,-33.90170806748167,-62.11975546281838,18/19,1,2
70,M,-33.89897871989309,-62.12276591050109,18/19,3,4
71,M,-33.905513631651715,-62.12049649609412,18/19,1,2
74,M,-33.89321220533399,-62.13383509505756,18/19,1,2
75,M,-33.89359665176907,-62.127767885112384,18/19,1,2
76,M,-33.89578796335753,-62.1307783327951,18/19,3,4
77,M,-33.89655683127237,-62.12605424566221,18/19,1,2
78,M,-33.89828675873475,-62.12906469334493,18/19,1,2
79,M,-33.897633234707016,-62.125313212386466,18/19,1,2
81,M,-33.86064330361107,-62.204650087471045,18/19,1,2
83,M,-33.86133557009505,-62.20006494407736,18/19,1,2
85,M,-33.86218166595385,-62.19626714853917,18/19,1,2
100,M,-33.873410871384124,-62.16255013449271,18/19,2,3
102,M,-33.87425684757276,-62.158381822316635,18/19,2,1
104,M,-33.8746798325226,-62.15337984770537,18/19,1,2
115,M,-33.89021346366552,-62.073487197664,18/19,3,4
129,M,-33.85289338186664,-62.08180066472627,18/19,1,2
130,M,-33.85585497344607,-62.07841970040568,18/19,1,2
143,M,-33.87275715676789,-62.08474164053938,18/19,4,3
163,M,-33.91888941814297,-62.06255695684671,18/19,1,2
164,M,-33.92273264664109,-62.05963913832347,18/19,1,2
179,M,-33.642608791437866,-61.9999164877563,18/19,3,2
181,M,-33.6380203473418,-62.002834306279574,18/19,2,3
183,M,-33.634164322903835,-62.00487214778786,18/19,2,3
185,M,-33.68169704169648,-61.96735733820318,18/19,1,2
197,M,-33.60419713133355,-62.020155959100116,18/19,4,3
199,M,-33.601612599785845,-62.02177696939082,18/19,4,5
209,M,-33.81980888823778,-62.03967755445807,18/19,3,2
235,M,-33.80266531655731,-62.00751207883271,18/19,2,3
237,M,-33.80135679962564,-62.00734997780365,18/19,3,2
249,M,-33.558011070855926,-61.98282640783442,18/19,2,3
251,M,-33.560481126399935,-61.98060330800718,18/19,2,3
258,M,-33.546132590743426,-61.979329657064504,18/19,3,4
263,M,-33.54101787623283,-61.95874282637267,18/19,3,2
271,M,-33.544646459613574,-61.984609519154176,18/19,2,3
281,M,-33.597253438242824,-62.026130539885855,18/19,3,2
309,M,-33.55553129560459,-61.92497949774648,18/19,2,3
316,M,-33.60258663009955,-61.8962876156012,18/19,1,2
328,M,-33.66632791802778,-61.90013172571912,18/19,2,3
340,M,-33.65879170791608,-61.885565790392725,18/19,1,2
342,M,-33.846546768413674,-61.79064405922764,18/19,1,2
350,M,-33.84635443943345,-61.7084819947793,18/19,1,2
353,M,-33.838545517230116,-61.70838936561982,18/19,1,2
367,M,-33.80968863169215,-61.88683944133543,18/19,3,4
379,M,-33.825080182532155,-61.80087958134889,18/19,1,2
382,M,-33.830889772785184,-61.79383976522929,18/19,1,2
394,M,-33.82623443718505,-61.81653390929902,18/19,3,4
396,M,-33.776240944475624,-61.699358022571666,18/19,4,5
399,M,-33.76757859673393,-61.695699170772656,18/19,3,4
401,M,-33.764729455431315,-61.6900487920451,18/19,1,2
402,M,-33.769503638583544,-61.68685308604346,18/19,4,3
407,M,-33.77966714251294,-61.715799698377296,18/19,1,2
411,M,-33.74736304655037,-61.65786015912989,18/19,3,4
413,M,-33.74462876812374,-61.652858184518614,18/19,3,4
427,M,-33.829312373414396,-61.71691124829089,18/19,1,2
429,M,-33.826080537464925,-61.719551179335745,18/19,3,4
432,M,-33.81907780716845,-61.718578573161324,18/19,1,2
436,M,-33.83542944269318,-61.70611995121286,18/19,1,2
438,M,-33.83431378345054,-61.70755570318462,18/19,1,2
439,M,-33.83462155297195,-61.71232610489722,18/19,1,2
440,M,-33.833236581398786,-61.70806516356168,18/19,1,2
441,M,-33.83335199655364,-61.71385448602845,18/19,1,2
450,M,-33.790714735213236,-61.72913829734071,18/19,1,2
494,M,-33.716163990913,-61.618214878877446,18/19,1,2
504,M,-33.73049385463057,-61.62770936772295,18/19,3,4
509,M,-33.68772831077182,-61.57347499485428,18/19,3,4
512,M,-33.685917047586386,-61.56263738319649,18/19,3,4
523,M,-33.608054497005874,-61.31802693033063,18/19,3,4
529,M,-33.60709017176716,-61.31006082261635,18/19,3,4
532,M,-33.61920131366084,-61.3326160229469,18/19,1,2
541,M,-33.88123583116781,-61.81032775561465,18/19,3,4
543,M,-33.88577282562848,-61.81370871993524,18/19,3,4
547,M,-33.89238563963026,-61.81847912164786,18/19,3,4
550,M,-33.840853647343714,-61.78605891583396,18/19,3,4
278,M,-33.5725988128629,-62.03233669357022,18/19,3,2
561,M,-33.614657442321786,-61.88606341895696,19/20,3,4
564,M,-33.60586307036931,-61.884905554463614,19/20,1,2
571,M,-33.65231265964186,-61.827869149521035,19/20,1,2
578,M,-33.570367895770914,-61.91213852734728,19/20,1,2
579,M,-33.56766657819572,-61.92214247656985,19/20,4,5
591,M,-33.69218015276815,-62.0837720376925,19/20,2,1
592,M,-33.694665631573685,-62.084605700127725,19/20,1,2
593,M,-33.69622624431428,-62.063694667377604,19/20,1,2
594,M,-33.69796022522685,-62.06450517252296,19/20,4,3
595,M,-33.6964959769768,-62.06008213015831,19/20,1,2
597,M,-33.662278027983746,-61.89356638087392,19/20,1,2
601,M,-33.65576308219632,-61.88106144434568,19/20,1,2
605,M,-33.674612668600545,-61.91672367074096,19/20,1,2
607,M,-33.673148022581614,-61.91394479595693,19/20,1,2
609,M,-33.67141354108796,-61.91042488789712,19/20,1,2
631,M,-33.791442167474216,-62.12999688292857,19/20,2,1
636,M,-33.79377562492125,-62.14426177348675,19/20,1,2
654,M,-33.66052405264405,-61.82712811624528,19/20,1,2
661,M,-33.693747132701375,-61.795124741649005,19/20,1,2
662,M,-33.696059166180895,-61.79970988504269,19/20,3,2
670,M,-33.684151529014336,-61.809227531178045,19/20,1,2
672,M,-33.688564098296645,-61.806726543872394,19/20,1,2
675,M,-33.69099187823634,-61.797046796707974,19/20,1,2
688,M,-33.866739821056285,-62.192984711367366,19/20,2,1
689,M,-33.86481696645301,-62.18867745545205,19/20,2,1
701,M,-33.87181594912007,-62.15234366765039,19/20,2,3
703,M,-33.872402376282395,-62.14631119364,19/20,2,1
721,M,-33.80634152266798,-62.15296891447682,19/20,2,3
734,M,-33.822070348139874,-62.191988947903106,19/20,2,1
735,M,-33.82678362245409,-62.19562464241226,19/20,2,1
737,M,-33.82851496409666,-62.199677168139026,19/20,1,2
747,M,-33.82182505838521,-62.044783845539634,19/20,1,2
788,M,-33.897936889726616,-62.12159657602921,19/20,1,2
794,M,-33.862328000000005,-62.085873,19/20,3,2
807,M,-33.783301030338016,-61.97299624695122,19/20,1,2
810,M,-33.6606092826971,-62.283767076969326,19/20,1,2
812,M,-33.683952512464856,-62.14669039426185,19/20,1,2
819,M,-33.648581071946204,-62.30145924642788,19/20,2,1
837,M,-33.851227459488605,-61.66136823537689,19/20,1,2
838,M,-33.855189123079036,-61.662966088377715,19/20,1,2
849,M,-33.80855912547489,-61.894290408014975,19/20,1,2
854,M,-33.81327314438309,-61.88287386411045,19/20,1,2
863,M,-33.806557994019926,-61.90570695191953,19/20,3,4
865,M,-33.821547603562195,-61.82321453425782,19/20,1,2
867,M,-33.823529146324375,-61.81193693409254,19/20,1,2
876,M,-33.813794135761746,-61.86538395910574,19/20,4,5
892,M,-33.75133675923955,-61.37639462627281,19/20,1,2
893,M,-33.75152930184996,-61.3820913195801,19/20,1,2
901,M,-33.69012482184493,-61.35397836968149,19/20,1,2
