level_0,index,GlobalId,Cultivo,Latitud,Longitud,Campania,best_q,best_q2
0,0,6,N,-33.80809159971218,-62.163615369826594,18/19,16,15
1,1,10,N,-33.775894467381505,-62.09946967689482,18/19,22,21
2,2,25,N,-33.81601874228309,-62.17222988165713,18/19,22,21
3,3,26,N,-33.81297880842235,-62.17375826278836,18/19,22,21
4,4,27,N,-33.81782725927307,-62.17422140858571,18/19,22,21
5,5,49,N,-33.87944788148834,-62.14194014651103,18/19,18,19
6,6,55,N,-33.886714798468226,-62.13087096195458,18/19,7,6
7,7,61,N,-33.87617948954359,-62.14184751735156,18/19,5,4
8,8,62,N,-33.875179721124226,-62.145784256628964,18/19,22,21
9,9,65,N,-33.89413487386679,-62.1231827417187,18/19,12,11
10,10,73,N,-33.89167440226404,-62.12975941204094,18/19,22,21
11,11,80,N,-33.90005509275592,-62.12387746041472,18/19,12,11
12,12,93,N,-33.85898953318211,-62.211689903590624,18/19,18,19
13,13,94,N,-33.863873832519786,-62.214005632577326,18/19,18,19
14,14,117,N,-33.888137349980504,-62.07520083711415,18/19,12,13
15,15,118,N,-33.885330671525004,-62.06913362716899,18/19,12,13
16,16,119,N,-33.88521532659939,-62.077146049462996,18/19,12,13
17,17,149,N,-33.935145090274446,-62.09405087106593,18/19,12,11
18,18,150,N,-33.93860334364879,-62.089326783933046,18/19,12,13
19,19,220,N,-33.82963939762669,-62.05424348978445,18/19,12,13
20,20,221,N,-33.82377200842254,-62.05051516611586,18/19,12,13
21,21,222,N,-33.826407574039074,-62.04935730162249,18/19,12,13
22,22,224,N,-33.82583044982896,-62.04474900093894,18/19,12,13
23,23,306,N,-33.67764063073843,-61.919444905468254,18/19,12,13
24,24,308,N,-33.680377042984645,-61.92525738522489,18/19,12,13
25,0,585,N,-33.679892895841725,-61.92575501378912,19/20,15,16
26,1,586,N,-33.685943560450056,-61.91968780384396,19/20,11,12
27,2,587,N,-33.67831271584891,-61.92223510572934,19/20,15,16
28,3,620,N,-33.77236797867533,-62.090455810480286,19/20,15,16
29,4,693,N,-33.88043410016295,-62.1427507603229,19/20,13,14
30,5,694,N,-33.88177985667162,-62.14476544454134,19/20,18,19
31,6,707,N,-33.87541135719709,-62.14209656688415,19/20,17,18
32,7,724,N,-33.80801555353172,-62.16197710023518,19/20,17,16
33,8,743,N,-33.82521095674275,-62.05557514261776,19/20,15,16
34,9,787,N,-33.89653372327178,-62.12298601342123,19/20,15,16
35,10,915,N,-33.812851358501874,-61.42169028525278,19/20,15,16
36,11,998,N,-33.50884697400858,-61.42514621842322,19/20,15,16
37,12,1000,N,-33.51754051518259,-61.445023598160496,19/20,15,16
38,13,1003,N,-33.525879999562285,-61.46900099969634,19/20,15,16
39,14,1026,N,-33.4789246994153,-61.552562121844396,19/20,15,16
40,15,1027,N,-33.48669099435845,-61.558798154138614,19/20,15,16
41,16,1029,N,-33.498654353815304,-61.582880008205784,19/20,15,16
42,17,1046,N,-33.5512335454917,-61.68121439972475,19/20,15,16
43,18,1062,N,-33.591190246832355,-61.74115268165089,19/20,15,16
44,19,1106,N,-33.67773405238455,-61.924319568693065,19/20,15,16
45,20,1107,N,-33.68959015666036,-61.92254799329521,19/20,15,16
46,21,1126,N,-33.775093029319805,-62.097658681502935,19/20,15,16
47,22,1128,N,-33.78567541568782,-62.10894035911025,19/20,5,4
48,23,1129,N,-33.792968628799144,-62.11445387684489,19/20,4,3
49,24,1136,N,-33.802400431534636,-62.154554341109936,19/20,8,7
50,25,1137,N,-33.808205081399365,-62.16312860160366,19/20,15,16
51,26,1139,N,-33.81436823430653,-62.17761013000347,19/20,18,19
52,27,1142,N,-33.82508264744615,-62.20233915432846,19/20,18,19
53,28,1154,N,-33.87489594988813,-62.22106785339866,19/20,17,18
54,29,1156,N,-33.89068536683618,-62.23739957053375,19/20,18,17
55,30,1163,N,-33.92164713450762,-62.24345032976885,19/20,2,3
56,31,1191,N,-34.05804699087588,-62.320507563872916,19/20,16,17
57,32,1198,N,-34.0841092151681,-62.349288105961314,19/20,14,13
58,33,1208,N,-34.10519668308041,-62.39566757649743,19/20,7,8
59,34,1227,N,-34.170087931556694,-62.50313823880267,19/20,8,9
60,36,1235,N,-34.20141501479105,-62.57035525239297,19/20,17,18
61,37,1242,N,-34.24424896571713,-62.65179934436424,19/20,19,18
62,38,1248,N,-34.27293394764354,-62.68736396727326,19/20,14,15
63,39,1250,N,-34.29166891139113,-62.69433148101302,19/20,14,13
64,40,1259,N,-34.31000053099967,-62.7881428671995,19/20,3,2
65,41,1268,N,-34.34878307208106,-62.83023894866853,19/20,14,13
66,42,1269,N,-34.35494948143338,-62.83579194394304,19/20,14,15
67,43,1270,N,-34.37532678620215,-62.861687883588885,19/20,14,13
68,44,1278,N,-34.345047425897924,-62.082210432265576,19/20,2,1
69,45,1295,N,-34.26976271327857,-62.03081142450759,19/20,15,16
70,46,1315,N,-34.12641914192983,-62.01168986289679,19/20,15,16
71,47,1327,N,-34.06859185393085,-61.966356429805316,19/20,15,16
72,48,1351,N,-33.94680269828586,-61.87061717144525,19/20,15,16
73,49,1373,N,-33.831773968593716,-61.76223997239675,19/20,15,16
74,50,1410,N,-33.735038839670665,-61.63713401362378,19/20,15,16
75,51,1437,N,-33.676912331039205,-61.51325989762614,19/20,15,16
76,52,1439,N,-33.67086061590075,-61.50449571916826,19/20,11,12
77,53,1440,N,-33.66480355504001,-61.490771974846716,19/20,15,16
