index,GlobalId,Cultivo,Latitud,Longitud,Campania,best_q,best_q2
0,38,P,-33.765653511638085,-62.07987860966729,18/19,6,5
1,39,P,-33.77395031991701,-62.08897942458506,18/19,9,8
2,101,P,-33.86956541939229,-62.15662186828674,18/19,6,7
3,120,P,-33.88267769878109,-62.07154198531514,18/19,6,7
4,207,P,-33.61596155708259,-62.012236165965604,18/19,6,7
5,433,P,-33.81673060991713,-61.727517287050006,18/19,6,5
6,435,P,-33.837660717491524,-61.7090377697361,18/19,10,9
7,463,P,-33.64451735793893,-61.4090350795082,18/19,5,6
8,466,P,-33.64399684399826,-61.3989153438363,18/19,5,6
9,483,P,-33.638887929046014,-61.398845871966685,18/19,7,6
0,629,P,-33.786775061780425,-62.11790877761789,19/20,6,7
1,633,P,-33.79328488245098,-62.13576883742798,19/20,9,10
2,637,P,-33.777334220883425,-62.09570093663522,19/20,7,6
3,638,P,-33.77574620962789,-62.097414576085384,19/20,5,4
4,640,P,-33.77771918887567,-62.100633439376935,19/20,6,7
5,642,P,-33.78109720880623,-62.10678169983668,19/20,5,4
6,649,P,-33.676096560837735,-61.80915805930843,19/20,7,8
7,650,P,-33.678158550392304,-61.81316427045544,19/20,7,6
8,651,P,-33.67925697323903,-61.80691180219132,19/20,6,7
9,674,P,-33.6908762712229,-61.804225556566756,19/20,5,4
10,677,P,-33.868181933588005,-62.172698925443676,19/20,9,8
11,679,P,-33.86899911987568,-62.16739590606408,19/20,7,6
12,681,P,-33.87000857448961,-62.16142132527835,19/20,11,12
13,683,P,-33.87111415394144,-62.155863575710214,19/20,7,6
14,700,P,-33.88839298019629,-62.1342404562967,19/20,6,7
15,711,P,-33.8154809475918,-62.17158737553008,19/20,7,8
16,712,P,-33.81292200703044,-62.17309259937144,19/20,5,4
17,738,P,-33.82734150303402,-62.20282655956097,19/20,5,6
18,742,P,-33.83252096186452,-62.05789087160448,19/20,6,5
19,744,P,-33.82786571508925,-62.05242575119581,19/20,9,10
21,762,P,-33.79515642442523,-61.986427475074215,19/20,5,4
22,764,P,-33.792693101024696,-61.98110129840477,19/20,6,7
23,781,P,-33.89363120979777,-62.12928479626512,19/20,6,7
24,822,P,-33.65386289715375,-62.30030138193452,19/20,9,10
25,841,P,-33.845476950981045,-61.69330213810358,19/20,5,4
26,853,P,-33.81192630834289,-61.87963184352903,19/20,9,10
27,877,P,-33.81496778272974,-61.85943253560988,19/20,5,4
28,903,P,-33.678852292770216,-61.36912323725454,19/20,5,4
29,904,P,-33.67586530658904,-61.364978082368346,19/20,7,8
30,922,P,-33.833705472512214,-61.498850375089816,19/20,10,9
31,945,P,-33.643579966674984,-61.407842225912255,19/20,7,8
32,947,P,-33.63806615465207,-61.397236187153126,19/20,5,4
33,948,P,-33.641112290259024,-61.3943183686299,19/20,7,8
34,950,P,-33.63621528545374,-61.383527071551846,19/20,9,10
35,953,P,-33.66543894819558,-61.3906595168309,19/20,7,8
36,955,P,-33.661083015700086,-61.39695829967475,19/20,5,4
37,956,P,-33.65668831164977,-61.39019637103358,19/20,7,8
38,960,P,-33.648939207770646,-61.403812857475394,19/20,6,7
39,1006,P,-33.52316338778007,-61.483113449026405,19/20,11,12
40,1066,P,-33.59619664945576,-61.76121880930054,19/20,10,9
41,1083,P,-33.63129091524348,-61.815370524030406,19/20,5,4
42,1084,P,-33.6278980033901,-61.81849794702259,19/20,9,10
43,1230,P,-34.18253743385543,-62.52910707603071,19/20,6,7
44,1319,P,-34.09858157048302,-61.99683643245533,19/20,5,4
