index,GlobalId,Cultivo,Latitud,Longitud,Campania,best_q,best_q2
0,386,s,-33.834890850394146,-61.78397475974593,18/19,5,4
0,596,s,-33.69840334806814,-62.0614252529706,19/20,5,4
1,602,s,-33.66166124952288,-61.87619841347361,19/20,7,8
2,678,s,-33.87003741587461,-62.17327785769035,19/20,5,4
3,680,s,-33.87118144961965,-62.168125360694894,19/20,5,4
4,706,s,-33.87494030968054,-62.145801733262914,19/20,5,4
5,708,s,-33.875113347845875,-62.14495649218275,19/20,5,4
6,752,s,-33.848023798462556,-62.070627381031464,19/20,5,4
7,754,s,-33.84310012536146,-62.066968529232426,19/20,5,4
8,828,s,-33.83243590248789,-61.78419450083182,19/20,5,4
9,836,s,-33.852650602508305,-61.67158060020825,19/20,5,4
10,839,s,-33.83335922801195,-61.51881195895525,19/20,5,4
11,879,s,-33.81675708236322,-61.848919126010216,19/20,5,4
12,891,s,-33.75341619655122,-61.38060925302861,19/20,5,4
13,905,s,-33.71925312504546,-61.33535990862836,19/20,5,4
14,906,s,-33.72441504758912,-61.33137685477122,19/20,5,4
15,909,s,-33.710469438996185,-61.326976969696474,19/20,5,4
16,933,s,-33.7701268796449,-61.369262180993736,19/20,5,4
17,936,s,-33.758653074474445,-61.370697932965506,19/20,5,4
18,943,s,-33.782446033711885,-61.35953611924958,19/20,5,4
19,984,s,-33.48679375382864,-61.386120097764255,19/20,5,4
20,1021,s,-33.47306674763223,-61.53600654366704,19/20,5,4
21,1024,s,-33.47986871776709,-61.540673384768866,19/20,6,7
22,1030,s,-33.51779538754704,-61.6021918339859,19/20,5,4
23,1035,s,-33.527539868370184,-61.62109519488728,19/20,5,4
24,1043,s,-33.543993649587215,-61.65193349823232,19/20,5,4
25,1052,s,-33.560620939704556,-61.697642485512226,19/20,5,4
26,1060,s,-33.588206806199075,-61.73397546039917,19/20,5,4
27,1061,s,-33.58480809281917,-61.742362122314034,19/20,5,4
28,1067,s,-33.59691755949774,-61.7642486855284,19/20,5,4
29,1073,s,-33.607192010802635,-61.78334995033987,19/20,5,4
30,1081,s,-33.62325132328988,-61.79837482214033,19/20,5,4
31,1088,s,-33.636171860642825,-61.82266962050654,19/20,5,4
32,1090,s,-33.63511815557837,-61.83592294119074,19/20,5,4
33,1103,s,-33.672717529690196,-61.896749462817404,19/20,5,4
34,1105,s,-33.677504408701445,-61.907586013783494,19/20,5,4
35,1113,s,-33.71809781835958,-61.99408236570855,19/20,5,4
36,1114,s,-33.737064600351005,-62.015156819531576,19/20,5,4
37,1120,s,-33.75293883685777,-62.04496571299722,19/20,5,4
38,1124,s,-33.75970593218295,-62.0602675274244,19/20,7,6
39,1130,s,-33.78326494032467,-62.125572620679854,19/20,5,4
40,1131,s,-33.79265059974534,-62.126223321549,19/20,6,5
41,1143,s,-33.83566508327692,-62.20417790818385,19/20,5,4
42,1146,s,-33.84151208221675,-62.20792930149605,19/20,6,5
43,1150,s,-33.854760043840884,-62.21882458898357,19/20,5,4
44,1151,s,-33.85786799741009,-62.21229765940939,19/20,5,4
45,1158,s,-33.89587049172974,-62.226770756665076,19/20,5,4
46,1166,s,-33.93045920992455,-62.2492670961995,19/20,6,5
47,1172,s,-33.95893138797311,-62.276241876061704,19/20,5,4
48,1176,s,-33.993212798831564,-62.26393177063466,19/20,5,6
49,1181,s,-34.01284251966649,-62.27760892920867,19/20,5,4
50,1185,s,-34.02662655996773,-62.284262373609636,19/20,5,6
51,1193,s,-34.075086826995395,-62.33338621080492,19/20,5,4
52,1195,s,-34.07335536046145,-62.341820402789324,19/20,5,4
53,1211,s,-34.113652144031164,-62.408425201661714,19/20,5,4
54,1213,s,-34.12463650756871,-62.416171738734704,19/20,5,4
55,1240,s,-34.222203427546106,-62.61108088577424,19/20,5,6
56,1253,s,-34.309101342952545,-62.74746839265214,19/20,5,6
57,1255,s,-34.30477596543841,-62.766971510526716,19/20,5,6
58,1261,s,-34.312317826706305,-62.80215576877367,19/20,6,5
59,1267,s,-34.33977763343097,-62.83022273209338,19/20,6,5
60,1271,s,-34.375040000495574,-62.11338399477553,19/20,5,4
